,Rating
1224,BBB
1225,BBB
1226,BBB
1227,BB
1228,BB
1229,BB
1230,A
1231,BBB
1232,A
1233,BBB
1234,BBB
1235,BBB
1236,BBB
1237,A
1238,A
1239,B
1240,B
1241,B
1242,B
1243,BB
1244,B
1245,BB
1246,BB
1247,B
1248,CCC
1249,B
1250,B
1251,BBB
1252,BBB
1253,A
1254,A
1255,A
1256,A
1257,BBB
1258,BBB
1259,BBB
1260,BB
1261,BB
1262,BB
1263,B
1264,BB
1265,CCC
1266,CCC
1267,BB
1268,B
1269,BBB
1270,A
1271,BBB
1272,A
1273,BB
1274,BB
1275,BB
1276,BBB
1277,BBB
1278,BBB
1279,A
1280,BBB
1281,A
1282,BBB
1283,BBB
1284,BBB
1285,BBB
1286,BBB
1287,BBB
1288,BBB
1289,BB
1290,BBB
1291,BBB
1292,BBB
1293,BB
1294,BB
1295,BB
1296,BB
1297,BBB
1298,B
1299,B
1300,BB
1301,BB
1302,BB
1303,BB
1304,BB
1305,BBB
1306,BBB
1307,BBB
1308,BBB
1309,A
1310,B
1311,BB
1312,BB
1313,BBB
1314,BBB
1315,B
1316,B
1317,B
1318,B
1319,B
1320,BBB
1321,BBB
1322,A
1323,BBB
1324,BBB
1325,BB
1326,A
1327,A
1328,A
1329,A
1330,BB
1331,BB
1332,BBB
1333,BBB
1334,BBB
1335,A
1336,A
1337,A
1338,A
1339,B
1340,B
1341,BB
1342,B
1343,B
1344,BB
1345,B
1346,BB
1347,B
1348,B
1349,BB
1350,B
1351,B
1352,A
1353,A
1354,B
1355,B
1356,BBB
1357,BBB
1358,BBB
1359,BBB
1360,BBB
1361,BBB
1362,BBB
1363,BBB
1364,BB
1365,BBB
1366,A
1367,BBB
1368,BB
1369,BB
1370,BBB
1371,BBB
1372,A
1373,CCC
1374,CC
1375,CCC
1376,B
1377,B
1378,B
1379,B
1380,B
1381,BBB
1382,BBB
1383,CCC
1384,BB
1385,CCC
1386,CCC
1387,AA
1388,A
1389,AA
1390,BB
1391,BBB
1392,BB
1393,A
1394,A
1395,A
1396,BB
1397,BBB
1398,BBB
1399,BBB
1400,A
1401,AA
1402,AA
1403,CCC
1404,B
1405,CCC
1406,C
1407,CC
1408,CCC
1409,BBB
1410,BBB
1411,AA
1412,AA
1413,AA
1414,BB
1415,BB
1416,B
1417,BBB
1418,BBB
1419,BB
1420,BB
1421,AA
1422,A
1423,A
1424,BBB
1425,BBB
1426,BBB
1427,BBB
1428,BBB
1429,BBB
1430,B
1431,BB
1432,CCC
1433,AA
1434,AA
1435,AA
1436,AA
1437,BB
1438,BB
1439,BBB
1440,BB
1441,B
1442,AA
1443,A
1444,AA
1445,AA
1446,A
1447,BBB
1448,BBB
1449,A
1450,BB
1451,BBB
1452,BBB
1453,BB
1454,A
1455,A
1456,A
1457,BB
1458,BB
1459,BBB
1460,BBB
1461,BBB
1462,BBB
1463,BBB
1464,BB
1465,BB
1466,BBB
1467,BB
1468,BBB
1469,BBB
1470,BBB
1471,BB
1472,BB
1473,BB
1474,BB
1475,BB
1476,BB
1477,BBB
1478,BBB
1479,BBB
1480,BB
1481,BB
1482,BB
1483,BB
1484,BB
1485,BB
1486,CCC
1487,BB
1488,B
1489,CCC
1490,BB
1491,BB
1492,BB
1493,BBB
1494,BBB
1495,B
1496,B
1497,B
1498,B
1499,B
1500,B
1501,B
1502,BBB
1503,BBB
1504,BBB
1505,CCC
1506,CCC
1507,B
1508,B
1509,B
1510,BBB
1511,B
1512,B
1513,B
1514,B
1515,B
1516,BBB
1517,BB
1518,BBB
1519,BBB
1520,BBB
1521,BBB
1522,BBB
1523,BB
1524,BB
1525,B
1526,BB
1527,BB
1528,BB
1529,B
1530,BBB
1531,A
1532,BBB
1533,BB
1534,BBB
1535,BBB
1536,BB
1537,BBB
1538,BBB
1539,BBB
1540,A
1541,A
1542,A
1543,BB
1544,BB
1545,B
1546,BB
1547,BB
1548,BBB
1549,BB
1550,BB
1551,BB
1552,BB
1553,BB
1554,BB
1555,BB
1556,BB
1557,BB
1558,BB
1559,B
1560,BB
1561,BB
1562,BB
1563,BB
1564,BB
1565,CCC
1566,B
1567,BB
1568,BB
1569,BB
1570,CCC
1571,B
1572,B
1573,A
1574,A
1575,BBB
1576,A
1577,BBB
1578,BBB
1579,BBB
1580,B
1581,CCC
1582,B
1583,B
1584,CCC
1585,BBB
1586,BBB
1587,BBB
1588,B
1589,B
1590,BB
1591,B
1592,BB
1593,BB
1594,BBB
1595,BBB
1596,BB
1597,BB
1598,B
1599,CCC
1600,CCC
1601,B
1602,B
1603,BBB
1604,BBB
1605,BBB
1606,BBB
1607,CCC
1608,A
1609,AA
